txn_id,thread_id,latency_ms,retries
67,MongoDB TX-thread-67,2531.278610229492,0
199,MongoDB TX-thread-199,2492.9940700531006,0
64,MongoDB TX-thread-64,2533.5376262664795,0
54,MongoDB TX-thread-54,2538.7141704559326,0
72,MongoDB TX-thread-72,2533.423662185669,0
6,MongoDB TX-thread-6,2560.1186752319336,0
9,MongoDB TX-thread-9,2558.788299560547,0
243,MongoDB TX-thread-243,2481.4183712005615,0
95,MongoDB TX-thread-95,2527.074098587036,0
190,MongoDB TX-thread-190,2501.1656284332275,0
12,MongoDB TX-thread-12,2559.9780082702637,0
70,MongoDB TX-thread-70,2535.6295108795166,0
241,MongoDB TX-thread-241,2483.6671352386475,0
238,MongoDB TX-thread-238,2522.4967002868652,0
1,MongoDB TX-thread-1,2611.504316329956,0
87,MongoDB TX-thread-87,2576.620578765869,0
62,MongoDB TX-thread-62,2586.266040802002,0
71,MongoDB TX-thread-71,2585.1199626922607,0
255,MongoDB TX-thread-255,2532.0162773132324,0
81,MongoDB TX-thread-81,2585.7722759246826,0
1868,MongoDB TX-thread-1868,1842.2424793243408,0
15,MongoDB TX-thread-15,2613.7945652008057,0
227,MongoDB TX-thread-227,2545.7284450531006,0
3,MongoDB TX-thread-3,2621.9582557678223,0
84,MongoDB TX-thread-84,2597.439765930176,0
244,MongoDB TX-thread-244,2550.4672527313232,0
240,MongoDB TX-thread-240,2574.039936065674,0
239,MongoDB TX-thread-239,3427.0641803741455,0
242,MongoDB TX-thread-242,3428.184986114502,0
304,MongoDB TX-thread-304,3474.93052482605,0
350,MongoDB TX-thread-350,3472.6386070251465,0
329,MongoDB TX-thread-329,3479.4490337371826,0
311,MongoDB TX-thread-311,3487.788438796997,0
353,MongoDB TX-thread-353,3473.9248752593994,0
323,MongoDB TX-thread-323,3484.6019744873047,0
332,MongoDB TX-thread-332,3481.5516471862793,0
371,MongoDB TX-thread-371,3470.01314163208,0
307,MongoDB TX-thread-307,3491.2266731262207,0
365,MongoDB TX-thread-365,3471.754550933838,0
342,MongoDB TX-thread-342,3480.4158210754395,0
319,MongoDB TX-thread-319,3489.208459854126,0
327,MongoDB TX-thread-327,3489.9938106536865,0
278,MongoDB TX-thread-278,3507.4057579040527,0
1930,MongoDB TX-thread-1930,2796.278238296509,0
374,MongoDB TX-thread-374,3477.2377014160156,0
305,MongoDB TX-thread-305,3499.6137619018555,0
1874,MongoDB TX-thread-1874,2820.5857276916504,0
335,MongoDB TX-thread-335,3491.1508560180664,0
366,MongoDB TX-thread-366,4379.862070083618,0
355,MongoDB TX-thread-355,4395.175218582153,0
358,MongoDB TX-thread-358,4396.172285079956,0
443,MongoDB TX-thread-443,4376.578330993652,0
294,MongoDB TX-thread-294,4469.797134399414,0
442,MongoDB TX-thread-442,4425.374746322632,0
