txn_id,thread_id,latency_ms,retries
39,NoSQL-STM-thread-39,13304.019927978516,0
236,NoSQL-STM-thread-236,13229.572534561157,0
988,NoSQL-STM-thread-988,13012.414455413818,0
18,NoSQL-STM-thread-18,13332.676410675049,0
971,NoSQL-STM-thread-971,13885.422706604004,0
982,NoSQL-STM-thread-982,13884.385108947754,0
912,NoSQL-STM-thread-912,13911.4089012146,0
1036,NoSQL-STM-thread-1036,13868.464469909668,0
47,NoSQL-STM-thread-47,14178.79319190979,0
974,NoSQL-STM-thread-974,13893.183469772339,0
42,NoSQL-STM-thread-42,14278.903007507324,0
30,NoSQL-STM-thread-30,14284.454584121704,0
87,NoSQL-STM-thread-87,14270.609855651855,0
1079,NoSQL-STM-thread-1079,14001.32966041565,0
404,NoSQL-STM-thread-404,14209.414720535278,0
975,NoSQL-STM-thread-975,14039.397478103638,0
1045,NoSQL-STM-thread-1045,14017.764568328857,0
102,NoSQL-STM-thread-102,14344.573259353638,0
41,NoSQL-STM-thread-41,14380.513668060303,0
941,NoSQL-STM-thread-941,14103.88994216919,0
92,NoSQL-STM-thread-92,15137.548923492432,0
488,NoSQL-STM-thread-488,15012.38465309143,0
1064,NoSQL-STM-thread-1064,14832.616329193115,0
741,NoSQL-STM-thread-741,14941.335201263428,0
1075,NoSQL-STM-thread-1075,14831.439733505249,0
1120,NoSQL-STM-thread-1120,14817.603588104248,0
491,NoSQL-STM-thread-491,15102.250099182129,0
1160,NoSQL-STM-thread-1160,14890.886068344116,0
751,NoSQL-STM-thread-751,15031.1861038208,0
1142,NoSQL-STM-thread-1142,14968.806028366089,0
1177,NoSQL-STM-thread-1177,14957.056045532227,0
20,NoSQL-STM-thread-20,15321.53606414795,0
13,NoSQL-STM-thread-13,15324.656248092651,0
987,NoSQL-STM-thread-987,15057.751893997192,0
73,NoSQL-STM-thread-73,15342.629671096802,0
1113,NoSQL-STM-thread-1113,15808.440923690796,0
510,NoSQL-STM-thread-510,15999.508380889893,0
1041,NoSQL-STM-thread-1041,15835.630416870117,0
820,NoSQL-STM-thread-820,15922.214269638062,0
1147,NoSQL-STM-thread-1147,15808.924436569214,0
1203,NoSQL-STM-thread-1203,15792.105913162231,0
1188,NoSQL-STM-thread-1188,15798.107385635376,0
1158,NoSQL-STM-thread-1158,15808.652639389038,0
17,NoSQL-STM-thread-17,16169.732570648193,0
15,NoSQL-STM-thread-15,16175.607442855835,0
1170,NoSQL-STM-thread-1170,15867.801427841187,0
1225,NoSQL-STM-thread-1225,15851.107120513916,0
1222,NoSQL-STM-thread-1222,15853.428363800049,0
1229,NoSQL-STM-thread-1229,15853.286504745483,0
107,NoSQL-STM-thread-107,16191.584825515747,0
1240,NoSQL-STM-thread-1240,15851.075649261475,0
390,NoSQL-STM-thread-390,16117.781639099121,0
1260,NoSQL-STM-thread-1260,15878.710269927979,0
